config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,norm_rms,n
density_2g_w0.25,density,density_2g,0.25,0.5,2,2,1.0,8,70,data/density_2g_w0.25__cell_+0.50.nc,2.6722381894961678e-05,-3.7858675729541662e-06,0.9169475527736827,5.348994935147075e-05,6.467544452009397e-05,0.41317662512020803,20736
density_2g_w0.5,density,density_2g,0.5,0.5,2,2,1.0,8,70,data/density_2g_w0.5__cell_+0.50.nc,2.3564242098012844e-05,-3.773345439383601e-06,0.9362261396976272,4.6628445294374516e-05,6.0164231632056616e-05,0.39166530443077047,20736
density_2g_w0.75,density,density_2g,0.75,0.5,2,2,1.0,8,70,data/density_2g_w0.75__cell_+0.50.nc,2.2543650785725044e-05,-1.6135728135228299e-06,0.9267711739497371,4.4211106811412824e-05,5.613355342799781e-05,0.40160740607026874,20736
density_2g_w1.0,density,density_2g,1.0,0.5,2,2,1.0,8,70,data/density_2g_w1.0__cell_+0.50.nc,2.46945156611866e-05,-8.383244942515571e-07,0.8921782436289858,4.250751258052938e-05,5.343164859437413e-05,0.46217019895183825,20736
density_2g_w1.5,density,density_2g,1.5,0.5,2,2,1.0,8,70,data/density_2g_w1.5__cell_+0.50.nc,2.7047444232174087e-05,2.47761218279838e-07,0.839144058806546,4.223798279352982e-05,4.9716637159591584e-05,0.5440320540054057,20736
density_2g_w2.0,density,density_2g,2.0,0.5,2,2,1.0,8,70,data/density_2g_w2.0__cell_+0.50.nc,2.8579802871946784e-05,1.071046306160643e-06,0.7931663806451216,4.210130311700117e-05,4.597321519717636e-05,0.6216620427648953,20736
density_4g_w0.25,density,density_4g,0.25,0.5,4,4,1.0,8,70,data/density_4g_w0.25__cell_+0.50.nc,1.9542144540686776e-05,-1.1277809407935372e-06,0.9627107717251798,4.950065591036708e-05,6.184248350225918e-05,0.3159987024126041,20736
density_4g_w0.5,density,density_4g,0.5,0.5,4,4,1.0,8,70,data/density_4g_w0.5__cell_+0.50.nc,1.5368095840047378e-05,8.218994320506299e-07,0.982364143091822,4.3656652315522626e-05,5.588177336776966e-05,0.2750108830460107,20736
density_4g_w0.75,density,density_4g,0.75,0.5,4,4,1.0,8,70,data/density_4g_w0.75__cell_+0.50.nc,1.365656704668481e-05,-2.2578462385114713e-07,0.9830775738350492,4.177501252641315e-05,5.237675607448475e-05,0.2607371679770291,20736
density_4g_w1.0,density,density_4g,1.0,0.5,4,4,1.0,8,70,data/density_4g_w1.0__cell_+0.50.nc,1.3227008216119871e-05,-3.674899064144651e-07,0.9778280029476191,4.010036765660886e-05,4.9424112766597776e-05,0.2676225727831185,20736
density_4g_w1.5,density,density_4g,1.5,0.5,4,4,1.0,8,70,data/density_4g_w1.5__cell_+0.50.nc,1.5855368676737546e-05,1.4902311653448575e-07,0.9433929499760606,3.6902147601359385e-05,4.4891058341046696e-05,0.35319658886812194,20736
density_4g_w2.0,density,density_4g,2.0,0.5,4,4,1.0,8,70,data/density_4g_w2.0__cell_+0.50.nc,1.902328808215459e-05,4.757600745277779e-07,0.8854545484990002,3.336637435980389e-05,4.0554232857936314e-05,0.4690826762472417,20736
density_6g_w0.25,density,density_6g,0.25,0.5,6,6,1.0,8,70,data/density_6g_w0.25__cell_+0.50.nc,1.60188217658131e-05,-1.6268066450317806e-06,0.9831746877207556,4.9561757080175476e-05,6.184248350225918e-05,0.2590261719555282,20736
density_6g_w0.5,density,density_6g,0.5,0.5,6,6,1.0,8,70,data/density_6g_w0.5__cell_+0.50.nc,1.4256812931330591e-05,-2.810926533150652e-07,0.9858270805173188,4.435256989773845e-05,5.588177336776966e-05,0.2551245615901184,20736
density_6g_w0.75,density,density_6g,0.75,0.5,6,6,1.0,8,70,data/density_6g_w0.75__cell_+0.50.nc,1.3037858778545144e-05,-7.324593565190469e-07,0.9841298346026414,4.243146361771643e-05,5.237675607448475e-05,0.2489245183494003,20736
density_6g_w1.0,density,density_6g,1.0,0.5,6,6,1.0,8,70,data/density_6g_w1.0__cell_+0.50.nc,1.3054991221701065e-05,-6.403458425055912e-07,0.9778479829539873,4.0392136612220345e-05,4.9424112766597776e-05,0.264142146230372,20736
density_6g_w1.5,density,density_6g,1.5,0.5,6,6,1.0,8,70,data/density_6g_w1.5__cell_+0.50.nc,1.573271576042398e-05,-2.003578572165456e-07,0.9439140541362258,3.7103793321626626e-05,4.4891058341046696e-05,0.3504643539677606,20736
density_6g_w2.0,density,density_6g,2.0,0.5,6,6,1.0,8,70,data/density_6g_w2.0__cell_+0.50.nc,1.9112596138824603e-05,1.1901120298206158e-07,0.8839364665761489,3.346724690702516e-05,4.0554232857936314e-05,0.47128486453626356,20736
equator_1deg_w0.25,equator,equator_1deg,0.25,0.0,2,2,1.0,8,70,data/equator_1deg_w0.25__cell_+0.00.nc,2.3789463598331933e-05,1.2564332343099145e-06,0.8898658246136454,4.08244812829898e-05,5.1075101545762326e-05,0.4657741811245744,20736
equator_1deg_w0.5,equator,equator_1deg,0.5,0.0,2,2,1.0,8,70,data/equator_1deg_w0.5__cell_+0.00.nc,2.1585695185806135e-05,1.7747724963363393e-06,0.9018208183281634,3.642317521696459e-05,4.751284534030512e-05,0.4543128291139197,20736
