config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_model_mean,norm_rms,n
density_2g_w0.25,density,density_2g,0.25,0.5,2,2,1.0,8,70,data/density_2g_w0.25__cell_+0.50.nc,2.4534323054187072e-05,-3.62689461803799e-06,0.9307510912188416,6.562933603675844e-05,6.467544452009397e-05,3.489064367709268e-06,0.379345255935033,20736
density_2g_w0.5,density,density_2g,0.5,0.5,2,2,1.0,8,70,data/density_2g_w0.5__cell_+0.50.nc,2.0211950140442737e-05,-4.355920730951883e-06,0.9446600785504196,5.688642316007841e-05,6.0164231632056616e-05,1.7792329466870434e-06,0.33594628556136064,20736
density_2g_w0.75,density,density_2g,0.75,0.5,2,2,1.0,8,70,data/density_2g_w0.75__cell_+0.50.nc,1.9608299505817777e-05,-1.9135808366491234e-06,0.93784094767796,5.377343836827257e-05,5.613355342799781e-05,1.0935969443018386e-06,0.34931512987092883,20736
density_2g_w1.0,density,density_2g,1.0,0.5,2,2,1.0,8,70,data/density_2g_w1.0__cell_+0.50.nc,2.282585442315526e-05,-8.532240607403852e-07,0.9060596899479236,5.142851429632869e-05,5.343164859437413e-05,1.3945571202301304e-06,0.42719727022532145,20736
density_2g_w1.5,density,density_2g,1.5,0.5,2,2,1.0,8,70,data/density_2g_w1.5__cell_+0.50.nc,2.697638119673147e-05,8.55890373708914e-07,0.8568876669440713,5.097669261655923e-05,4.9716637159591584e-05,1.8163804507193812e-06,0.542602692739186,20736
density_2g_w2.0,density,density_2g,2.0,0.5,2,2,1.0,8,70,data/density_2g_w2.0__cell_+0.50.nc,3.0166384560368296e-05,2.1816907671895125e-06,0.8108026486708267,5.07346009571162e-05,4.597321519717636e-05,2.277864940321226e-06,0.6561730440428516,20736
density_4g_w0.25,density,density_4g,0.25,0.5,4,4,1.0,8,70,data/density_4g_w0.25__cell_+0.50.nc,1.5144820682258206e-05,-2.960972680954003e-07,0.9696982428314147,6.097445690911139e-05,6.184248350225918e-05,2.731370057860199e-06,0.2448934749152651,20736
density_4g_w0.5,density,density_4g,0.5,0.5,4,4,1.0,8,70,data/density_4g_w0.5__cell_+0.50.nc,8.609354468747701e-06,1.3909120286523067e-06,0.9888201685223664,5.359795359372496e-05,5.5881773367769654e-05,9.232549407295205e-07,0.1540637304419052,20736
density_4g_w0.75,density,density_4g,0.75,0.5,4,4,1.0,8,70,data/density_4g_w0.75__cell_+0.50.nc,7.728535417462963e-06,-1.270075105353787e-08,0.9891575530265424,5.1057932832388946e-05,5.237675607448475e-05,1.2124775545109245e-06,0.14755658801152646,20736
density_4g_w1.0,density,density_4g,1.0,0.5,4,4,1.0,8,70,data/density_4g_w1.0__cell_+0.50.nc,8.574198813259856e-06,-2.9317090899950913e-07,0.9848569296352909,4.8774835709710667e-05,4.9424112766597776e-05,1.3361302036908365e-06,0.1734820987834615,20736
density_4g_w1.5,density,density_4g,1.5,0.5,4,4,1.0,8,70,data/density_4g_w1.5__cell_+0.50.nc,1.3587419681913557e-05,6.858697037923799e-07,0.9540197150770117,4.4584363357994096e-05,4.4891058341046696e-05,2.0960766340312935e-06,0.30267541430382655,20736
density_4g_w2.0,density,density_4g,2.0,0.5,4,4,1.0,8,70,data/density_4g_w2.0__cell_+0.50.nc,1.8239584642659025e-05,1.4287488772206334e-06,0.898487558653526,4.013677220178604e-05,4.0554232857936314e-05,2.8911972757804167e-06,0.4497578515799641,20736
density_6g_w0.25,density,density_6g,0.25,0.5,6,6,1.0,8,70,data/density_6g_w0.25__cell_+0.50.nc,8.805055178810454e-06,-9.591840514429257e-07,0.989935400369257,6.110874360934441e-05,6.184248350225918e-05,2.731370057860199e-06,0.14237874483952112,20736
density_6g_w0.5,density,density_6g,0.5,0.5,6,6,1.0,8,70,data/density_6g_w0.5__cell_+0.50.nc,7.138490585678471e-06,-5.417539167147824e-08,0.9919860238269471,5.4383215131026624e-05,5.5881773367769654e-05,9.232549407295205e-07,0.1277427353405299,20736
density_6g_w0.75,density,density_6g,0.75,0.5,6,6,1.0,8,70,data/density_6g_w0.75__cell_+0.50.nc,7.377206163311022e-06,-7.065314839696143e-07,0.9901234613889177,5.1809633282420866e-05,5.237675607448475e-05,1.2124775545109245e-06,0.1408488557943514,20736
density_6g_w1.0,density,density_6g,1.0,0.5,6,6,1.0,8,70,data/density_6g_w1.0__cell_+0.50.nc,8.606919343678213e-06,-6.760862064514291e-07,0.9848507607198507,4.908911666076159e-05,4.9424112766597776e-05,1.3361302036908365e-06,0.17414413455075747,20736
density_6g_w1.5,density,density_6g,1.5,0.5,6,6,1.0,8,70,data/density_6g_w1.5__cell_+0.50.nc,1.352192660666747e-05,2.326711619347049e-07,0.9546046772936554,4.48480116965086e-05,4.4891058341046696e-05,2.0960766340312935e-06,0.30121648066166284,20736
density_6g_w2.0,density,density_6g,2.0,0.5,6,6,1.0,8,70,data/density_6g_w2.0__cell_+0.50.nc,1.8369862324181035e-05,9.82508878483068e-07,0.897042536630902,4.0285665631723776e-05,4.0554232857936314e-05,2.8911972757804167e-06,0.4529702827453712,20736
equator_1deg_w0.25,equator,equator_1deg,0.25,0.0,2,2,1.0,8,70,data/equator_1deg_w0.25__cell_+0.00.nc,2.355794666158913e-05,3.573302111259038e-06,0.8937715058033502,4.9822780186937765e-05,5.1075101545762326e-05,5.754886283456769e-06,0.46124130836003635,20736
equator_1deg_w0.5,equator,equator_1deg,0.5,0.0,2,2,1.0,8,70,data/equator_1deg_w0.5__cell_+0.00.nc,2.0470805335068315e-05,3.894491526098435e-06,0.9064266113052314,4.415081102636686e-05,4.751284534030512e-05,5.034189114797615e-06,0.4308478094386602,20736
equator_1deg_w0.75,equator,equator_1deg,0.75,0.0,2,2,1.0,8,70,data/equator_1deg_w0.75__cell_+0.00.nc,1.9367490476665192e-05,4.369423758142254e-06,0.9083902344254623,4.230876487960698e-05,4.499500611924237e-05,5.117101295191814e-06,0.4304364449987834,20736
equator_1deg_w1.0,equator,equator_1deg,1.0,0.0,2,2,1.0,8,70,data/equator_1deg_w1.0__cell_+0.00.nc,1.9618993849605773e-05,4.687500651672569e-06,0.8997891870432692,4.1716152668250646e-05,4.315952061953487e-05,5.392061391339702e-06,0.4545693179160526,20736
equator_1deg_w1.5,equator,equator_1deg,1.5,0.0,2,2,1.0,8,70,data/equator_1deg_w1.5__cell_+0.00.nc,2.2150051879266453e-05,4.431421228870578e-06,0.8578169295772174,4.125702683038726e-05,4.001333793175283e-05,5.653556898813324e-06,0.5535667111063269,20736
equator_1deg_w2.0,equator,equator_1deg,2.0,0.0,2,2,1.0,8,70,data/equator_1deg_w2.0__cell_+0.00.nc,2.533598563643684e-05,4.9971796506311165e-06,0.8048350077234444,4.1471320719716176e-05,3.6714058319734493e-05,5.704249180118595e-06,0.6900894860435048,20736
equator_2deg_w0.25,equator,equator_2deg,0.25,0.0,2,2,2.0,8,70,data/equator_2deg_w0.25__cell_+0.00.nc,3.164825461461398e-05,2.7614722874354797e-06,0.7962539446105283,5.186073787506782e-05,3.818452883898023e-05,6.8705432710884155e-06,0.8288240179175977,20736
equator_2deg_w0.5,equator,equator_2deg,0.5,0.0,2,2,2.0,8,70,data/equator_2deg_w0.5__cell_+0.00.nc,2.3832613116336677e-05,2.375610440037022e-06,0.8400892793272675,4.368939573702138e-05,3.586853702592327e-05,6.856897364667115e-06,0.6644434117597863,20736
equator_2deg_w0.75,equator,equator_2deg,0.75,0.0,2,2,2.0,8,70,data/equator_2deg_w0.75__cell_+0.00.nc,2.127722258788404e-05,3.115491053796661e-06,0.8450191438310519,3.931723477437208e-05,3.421926585889171e-05,6.674861163345496e-06,0.6217907384577994,20736
equator_2deg_w1.0,equator,equator_2deg,1.0,0.0,2,2,2.0,8,70,data/equator_2deg_w1.0__cell_+0.00.nc,1.8867232031761867e-05,3.857206007178163e-06,0.8608090063319227,3.60482466457533e-05,3.315665940526371e-05,6.526183199642196e-06,0.5690329595980542,20736
equator_2deg_w1.5,equator,equator_2deg,1.5,0.0,2,2,2.0,8,70,data/equator_2deg_w1.5__cell_+0.00.nc,1.7489481202811825e-05,3.980785439162376e-06,0.8479663810936758,3.111075216960431e-05,3.063608088862229e-05,6.408019852329617e-06,0.5708785424087034,20736
equator_2deg_w2.0,equator,equator_2deg,2.0,0.0,2,2,2.0,8,70,data/equator_2deg_w2.0__cell_+0.00.nc,1.914135782337681e-05,4.550118287699951e-06,0.7867301922446133,2.8902593696925998e-05,2.7970122454511857e-05,6.4551377068578475e-06,0.684350161659343,20736
equator_3cell_w0.25,equator,equator_3cell,0.25,-1.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_-1.00.nc,4.001213638170507e-05,-1.916373911574622e-06,0.7830511699146353,6.38743354915351e-05,4.565162027856649e-05,3.748057839433737e-06,0.876466949859627,20736
equator_3cell_w0.25,equator,equator_3cell,0.25,0.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_+0.00.nc,3.164825461461398e-05,2.761472287435477e-06,0.7962539446105285,5.186073787506782e-05,3.818452883898023e-05,6.8705432710884155e-06,0.8288240179175977,20736
equator_3cell_w0.25,equator,equator_3cell,0.25,1.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_+1.00.nc,4.1285968306596216e-05,-1.2317040366069758e-06,0.7791725524544755,6.4992699462882e-05,5.723037801267017e-05,3.0493683171416084e-06,0.7213995388507823,20736
