config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
density_2g_w0.25,density,density_2g,0.25,0.5,2,2,1.0,8,120,data/density_2g_w0.25__cell_+0.50.nc,3.8200447817009834e-05,-4.472283312681293e-06,0.8953113497792531,8.38437161645474e-05,8.173279990361406e-05,3.545995861135704e-07,4.826882898794863e-06,0.46738210194755225,36936,1.085287020639768e-05,1.148845320288248e-05,4.128581377069565e-06,56.19437617468049,39.109374781304254,40.631453734583765,11.53140303552243
density_2g_w0.5,density,density_2g,0.5,0.5,2,2,1.0,8,120,data/density_2g_w0.5__cell_+0.50.nc,2.939077574061077e-05,-5.108081935591228e-06,0.9295833638372842,7.6462911003708e-05,7.766066544230571e-05,-1.2968624410765636e-06,3.811219494514664e-06,0.37845124778701833,36936,1.0757270943617789e-05,1.1643655994618737e-05,3.0872988550938917e-06,61.140162681471296,34.63866166342222,34.30281180988399,10.598597903246638
density_2g_w0.75,density,density_2g,0.75,0.5,2,2,1.0,8,120,data/density_2g_w0.75__cell_+0.50.nc,2.8945444518139167e-05,-2.4504228094831445e-06,0.924154013989073,7.408303629513369e-05,7.402073057554136e-05,1.015233508454805e-06,3.4656563179379513e-06,0.3910451071352111,36936,1.0848105740186337e-05,1.1353800582056862e-05,3.3329621678835568e-06,54.0013539752494,33.47477786940903,32.1024179667112,11.99969912415529
density_2g_w1.0,density,density_2g,1.0,0.5,2,2,1.0,8,120,data/density_2g_w1.0__cell_+0.50.nc,3.419956966831346e-05,-1.0168171033592386e-06,0.8872247538566641,7.271364919446195e-05,7.109165735456446e-05,2.8897964634683493e-06,3.9066135668275904e-06,0.48106305213487427,36936,1.0871261248129029e-05,1.1115584395191326e-05,4.270132672705385e-06,46.68558173970636,32.65598354824006,30.909496425793087,13.88008836674455
density_2g_w1.5,density,density_2g,1.5,0.5,2,2,1.0,8,120,data/density_2g_w1.5__cell_+0.50.nc,4.326641936153746e-05,7.050852002696165e-07,0.8155866439216568,7.387826201712791e-05,6.689097037259374e-05,5.0797744951481685e-06,4.374689294878553e-06,0.646820028481219,36936,1.100383505579828e-05,1.0576681202846466e-05,6.037601767383737e-06,36.155603373154676,32.51850029024329,31.14141279750204,17.92253314962339
density_2g_w2.0,density,density_2g,2.0,0.5,2,2,1.0,8,120,data/density_2g_w2.0__cell_+0.50.nc,4.87482229941927e-05,2.3542184873270408e-06,0.7596382999941917,7.420872531249577e-05,6.282862268371144e-05,7.26974123076519e-06,4.915522743438151e-06,0.7758919567535079,36936,1.151354072697873e-05,9.797932477454182e-06,7.476060069402207e-06,29.125261243528332,33.58892913145628,28.644259862995582,22.248727473439793
density_4g_w0.25,density,density_4g,0.25,0.5,4,4,1.0,8,120,data/density_4g_w0.25__cell_+0.50.nc,1.8244892187241986e-05,-3.3317546717117513e-07,0.9733362473597996,7.927337573155402e-05,7.861174543574474e-05,3.905730291938353e-06,4.238905759109528e-06,0.2320886285644796,36936,1.1440448520282228e-05,1.1349614955149109e-05,1.5371036671896989e-06,111.65904063807521,37.14786502001498,32.7183706801806,5.80338140375384
density_4g_w0.5,density,density_4g,0.5,0.5,4,4,1.0,8,120,data/density_4g_w0.5__cell_+0.50.nc,1.2365495751502634e-05,1.4602427418319038e-06,0.986225106319778,7.052531433706574e-05,7.338649330630672e-05,4.613321165746062e-06,3.1530784239141583e-06,0.1684982507597207,36936,1.0578326200472844e-05,1.1271847985654463e-05,1.1121449100062502e-06,109.10237551153273,33.18225586332009,30.75757844283685,5.939375719014503
density_4g_w0.75,density,density_4g,0.75,0.5,4,4,1.0,8,120,data/density_4g_w0.75__cell_+0.50.nc,1.1569628426038164e-05,-2.652368372082565e-07,0.9861568221272103,6.877139039453133e-05,6.975575104843946e-05,3.4540115281261895e-06,3.7192483653344466e-06,0.16585913350720052,36936,1.0354091285891826e-05,1.0968598786412447e-05,1.0869005422300755e-06,92.1912543552805,32.34414541708622,31.15314899310809,7.028866290318394
density_4g_w1.0,density,density_4g,1.0,0.5,4,4,1.0,8,120,data/density_4g_w1.0__cell_+0.50.nc,1.3011336940504519e-05,-5.264090803730543e-07,0.9809884854354362,6.679854799282215e-05,6.651350666428455e-05,3.5620115662001926e-06,4.088420646573248e-06,0.19561947028559173,36936,9.993652175363344e-06,1.0596821142640437e-05,1.2993500723384773e-06,75.30642436009916,31.94723292401543,31.810403343067055,8.60484355094863
