config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
density_2g_w0.25,density,density_2g,0.25,0.5,2,2,1.0,8,120,data/density_2g_w0.25__cell_+0.50.nc,4.158705798158254e-05,7.254737046356079e-07,0.8669087873155448,8.202126916392234e-05,7.868016039894444e-05,2.9857287103202397e-06,2.2602550056846338e-06,0.5285583782584722,36936,1.1365785683295081e-05,1.1373999191420536e-05,4.115659396811057e-06,71.03988209309927,35.549425445373906,34.74652001585034,9.121636761034912
density_2g_w0.5,density,density_2g,0.5,0.5,2,2,1.0,8,120,data/density_2g_w0.5__cell_+0.50.nc,3.303396305164714e-05,1.1536149374353859e-06,0.8974017626097426,7.232225971328877e-05,7.336901485123779e-05,3.76863046696227e-06,2.6150155295268823e-06,0.45024405900265174,36936,1.1508393424362467e-05,1.1195080526773787e-05,3.3963802365654446e-06,68.14932197396068,32.47366277072482,26.479491998503153,9.508531871345626
density_2g_w0.75,density,density_2g,0.75,0.5,2,2,1.0,8,120,data/density_2g_w0.75__cell_+0.50.nc,2.995419218092324e-05,2.1682560405790375e-06,0.9075867855013592,6.90454616234611e-05,6.988605297158022e-05,4.681798727889444e-06,2.5135426873104068e-06,0.42861473652123944,36936,1.1210320146472052e-05,1.0981478283779557e-05,3.19494265104406e-06,62.96781960470794,31.059647852072757,25.503028603709208,10.290970912887552
density_2g_w1.0,density,density_2g,1.0,0.5,2,2,1.0,8,120,data/density_2g_w1.0__cell_+0.50.nc,3.460741289579993e-05,3.6286554225849075e-06,0.8725121974512947,6.871407847523078e-05,6.752671962037234e-05,6.678655053932883e-06,3.0499996313479756e-06,0.5124995422605886,36936,1.104858058010134e-05,1.0764626577355834e-05,4.171562964272411e-06,49.239047516294285,30.678339852226095,25.957660759318046,13.160287062530251
density_2g_w1.5,density,density_2g,1.5,0.5,2,2,1.0,8,120,data/density_2g_w1.5__cell_+0.50.nc,4.4036957187985194e-05,6.586418509997234e-06,0.7984188996221607,7.106363352446682e-05,6.480672744972912e-05,1.050806854657407e-05,3.921650036576839e-06,0.6795121266097701,36936,1.1298274816512618e-05,1.0464638876501974e-05,6.642208574111693e-06,30.083145363612275,30.560597389612063,26.424122317795145,21.540300795268653
density_2g_w2.0,density,density_2g,2.0,0.5,2,2,1.0,8,120,data/density_2g_w2.0__cell_+0.50.nc,5.193895401323774e-05,6.763871669201932e-06,0.7246848206968988,7.386501854291057e-05,6.135206858999447e-05,1.1018214016331482e-05,4.254342347129549e-06,0.8465721728200725,36936,1.2491216676156041e-05,9.668760759627926e-06,8.843685962754784e-06,23.24402693039889,32.08908906655404,23.42243229061714,27.87812980686818
density_4g_w0.25,density,density_4g,0.25,0.5,4,4,1.0,8,120,data/density_4g_w0.25__cell_+0.50.nc,2.3015729492632715e-05,1.024194023835833e-06,0.95332975446835,7.594468195178321e-05,7.409949355296137e-05,2.825980673664361e-06,1.801786649828529e-06,0.31060575975708404,36936,7.842311276988237e-06,1.1275567358744493e-05,2.027349457990691e-06,95.16116514190966,32.22147706367951,61.698683824464794,6.809500483034924
density_4g_w0.5,density,density_4g,0.5,0.5,4,4,1.0,8,120,data/density_4g_w0.5__cell_+0.50.nc,1.3906803967306007e-05,-1.8507746119862704e-07,0.9796176910817377,6.846857462572315e-05,6.912489949061716e-05,1.884050740424466e-06,2.0691282016230943e-06,0.2011837133910579,36936,1.0360709054112366e-05,1.095469533723744e-05,1.2795607029922573e-06,91.45639423841614,30.326822892092032,29.241210082110136,7.0853438449665935
density_4g_w0.75,density,density_4g,0.75,0.5,4,4,1.0,8,120,data/density_4g_w0.75__cell_+0.50.nc,1.394839258079889e-05,-5.850960164449423e-07,0.9774475992113093,6.443309293389307e-05,6.599140456072754e-05,1.8715203133201845e-06,2.4566163297651276e-06,0.21136680865707447,36936,1.0098640085472138e-05,1.0640161707461449e-05,1.2239195755268657e-06,104.93447558314894,29.955824359067105,27.8432357006414,6.175282207290699
density_4g_w1.0,density,density_4g,1.0,0.5,4,4,1.0,8,120,data/density_4g_w1.0__cell_+0.50.nc,1.5042079721195089e-05,-1.5454599131099853e-06,0.972214106435832,6.33618600976098e-05,6.356848704483423e-05,1.7063415762360422e-06,3.251801489346027e-06,0.23662793343793218,36936,9.759391507827567e-06,1.0273898147255702e-05,1.435156748628655e-06,81.85898035981594,30.242634616065708,29.238166126782957,7.9160526695016
density_4g_w1.5,density,density_4g,1.5,0.5,4,4,1.0,8,120,data/density_4g_w1.5__cell_+0.50.nc,2.0809388235310542e-05,1.2224075500984477e-07,0.9401024610470345,6.0444903786327407e-05,5.972992454890211e-05,4.54944527152304e-06,4.427204516513195e-06,0.3483913363773542,36936,6.281949094789486e-06,9.371580474128051e-06,2.3303273793897053e-06,56.78037120852362,32.359581356993864,63.69628195455579,11.412394568895053
density_4g_w2.0,density,density_4g,2.0,0.5,4,4,1.0,8,120,data/density_4g_w2.0__cell_+0.50.nc,2.8464891503413993e-05,3.564979101241768e-06,0.874007752832845,5.687248393871859e-05,5.5524773699228856e-05,8.619001917966103e-06,5.054022816724334e-06,0.5126520939572838,36936,5.682761399169921e-06,5.814256805631008e-06,4.0735420521420675e-06,33.17962370518401,72.45940731991375,67.37019830885538,19.53005874200906
density_6g_w0.25,density,density_6g,0.25,0.5,6,6,1.0,8,120,data/density_6g_w0.25__cell_+0.50.nc,1.6325837493423973e-05,1.147222170988337e-06,0.9761397741656228,7.484590756755723e-05,7.409949355296137e-05,2.949008820816864e-06,1.801786649828529e-06,0.22032319939886438,36936,1.0804349008768626e-05,1.1275567358744493e-05,1.4462413627830361e-06,97.86953930368074,32.22147706367951,31.780754098276212,6.621059060974139
density_6g_w0.5,density,density_6g,0.5,0.5,6,6,1.0,8,120,data/density_6g_w0.5__cell_+0.50.nc,1.2226785571446231e-05,5.280912161654035e-07,0.9843005419487951,6.864066676431862e-05,6.912489949061716e-05,2.5972194177884986e-06,2.0691282016230943e-06,0.1768796144594158,36936,1.062940661507489e-05,1.095469533723744e-05,1.1556682649484716e-06,88.5163013704798,30.326822892092032,28.194115159354467,7.320685455302001
density_6g_w0.75,density,density_6g,0.75,0.5,6,6,1.0,8,120,data/density_6g_w0.75__cell_+0.50.nc,1.3156548123534094e-05,9.046690135852643e-08,0.9799446599791334,6.506986728478276e-05,6.599140456072754e-05,2.547083231123652e-06,2.4566163297651276e-06,0.19936760266144948,36936,1.0384018425342207e-05,1.0640161707461449e-05,1.1717468511078018e-06,99.63864477066417,29.955824359067105,27.104341480467575,6.503500740013934
density_6g_w1.0,density,density_6g,1.0,0.5,6,6,1.0,8,120,data/density_6g_w1.0__cell_+0.50.nc,1.4780378987097434e-05,-7.823373217884147e-07,0.9731467432772355,6.379433951610848e-05,6.356848704483423e-05,2.4694641675576123e-06,3.251801489346027e-06,0.23251110218610327,36936,1.0014693847207128e-05,1.0273898147255702e-05,1.4229769111569249e-06,79.78693245959496,30.242634616065708,28.30204101235986,8.121630698462493
density_6g_w1.5,density,density_6g,1.5,0.5,6,6,1.0,8,120,data/density_6g_w1.5__cell_+0.50.nc,2.1051607429377328e-05,1.0145031113611265e-06,0.9400868939393267,6.139037689512159e-05,5.972992454890211e-05,5.441707627874321e-06,4.427204516513195e-06,0.35244657662579076,36936,6.41510441181154e-06,9.371580474128051e-06,2.339028395315353e-06,55.64733863172644,32.359581356993864,63.049887120596324,11.644761743027063
