config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
density_2g_w0.25,density,density_2g,0.25,0.5,2,2,1.0,8,70,data/density_2g_w0.25__cell_+0.50.nc,2.6722381894961678e-05,-3.7858675729541662e-06,0.9169475527736827,5.348994935147075e-05,6.467544452009397e-05,-2.968032052448986e-07,3.489064367709268e-06,0.41317662512020803,20736,7.107156956192127e-06,9.96075659043899e-06,4.130938701077671e-06,32.30498663079669,35.75187770481552,42.75661113123748,20.058822726218207
density_2g_w0.5,density,density_2g,0.5,0.5,2,2,1.0,8,70,data/density_2g_w0.5__cell_+0.50.nc,2.3564242098012844e-05,-3.773345439383601e-06,0.9362261396976272,4.6628445294374516e-05,6.0164231632056616e-05,-1.9941124926965572e-06,1.7792329466870434e-06,0.39166530443077047,20736,7.095209014564339e-06,9.75823240586584e-06,2.946756211704453e-06,52.87144712462865,32.102832679936824,32.431885291482665,12.256142686477514
density_2g_w0.75,density,density_2g,0.75,0.5,2,2,1.0,8,70,data/density_2g_w0.75__cell_+0.50.nc,2.2543650785725044e-05,-1.6135728135228299e-06,0.9267711739497371,4.4211106811412824e-05,5.613355342799781e-05,-5.199758692209921e-07,1.0935969443018386e-06,0.40160740607026874,20736,7.142572967401889e-06,9.536143452057653e-06,3.0120170338125888e-06,47.253584116786385,29.1397506379822,28.69855234186826,13.713245505324625
density_2g_w1.0,density,density_2g,1.0,0.5,2,2,1.0,8,70,data/density_2g_w1.0__cell_+0.50.nc,2.46945156611866e-05,-8.383244942515571e-07,0.8921782436289858,4.250751258052938e-05,5.343164859437413e-05,5.562326259785719e-07,1.3945571202301304e-06,0.46217019895183825,20736,7.066606558144177e-06,9.271757282668473e-06,3.3362560300516556e-06,45.42278322255826,27.841804355503044,26.877333475206903,14.265968618104948
density_2g_w1.5,density,density_2g,1.5,0.5,2,2,1.0,8,70,data/density_2g_w1.5__cell_+0.50.nc,2.7047444232174087e-05,2.47761218279838e-07,0.839144058806546,4.223798279352982e-05,4.9716637159591584e-05,2.0641416689992175e-06,1.8163804507193812e-06,0.5440320540054057,20736,7.1797275098461205e-06,8.834968443551014e-06,3.92214159293532e-06,37.536938493404016,26.45370030431229,25.593016782892573,17.262995492130145
density_2g_w2.0,density,density_2g,2.0,0.5,2,2,1.0,8,70,data/density_2g_w2.0__cell_+0.50.nc,2.8579802871946784e-05,1.071046306160643e-06,0.7931663806451216,4.210130311700117e-05,4.597321519717636e-05,3.348911246481869e-06,2.277864940321226e-06,0.6216620427648953,20736,7.452626826937983e-06,8.249462668829896e-06,4.637954875585248e-06,29.255587036818426,25.9193713870461,23.516163617947356,22.1496153601186
density_4g_w0.25,density,density_4g,0.25,0.5,4,4,1.0,8,70,data/density_4g_w0.25__cell_+0.50.nc,1.9542144540686776e-05,-1.1277809407935372e-06,0.9627107717251798,4.950065591036708e-05,6.184248350225918e-05,1.6035891170666606e-06,2.731370057860199e-06,0.3159987024126041,20736,7.646918017041331e-06,9.755306028636208e-06,2.411735925595464e-06,59.25873337468262,34.06797767754668,31.993146596981326,10.935097041356068
density_4g_w0.5,density,density_4g,0.5,0.5,4,4,1.0,8,70,data/density_4g_w0.5__cell_+0.50.nc,1.5368095840047378e-05,8.218994320506299e-07,0.982364143091822,4.3656652315522626e-05,5.588177336776966e-05,1.7451543727801507e-06,9.232549407295205e-07,0.2750108830460107,20736,7.133614299063368e-06,9.42760721067351e-06,2.476940288108818e-06,36.093233235262424,29.564271990998872,28.418047900480257,17.95350379879284
density_4g_w0.75,density,density_4g,0.75,0.5,4,4,1.0,8,70,data/density_4g_w0.75__cell_+0.50.nc,1.365656704668481e-05,-2.2578462385114713e-07,0.9830775738350492,4.177501252641315e-05,5.237675607448475e-05,9.866929306597753e-07,1.2124775545109245e-06,0.2607371679770291,20736,6.938635677296364e-06,9.07426434846386e-06,2.232211077782001e-06,35.10458734136018,27.926204679486787,27.343643385932193,18.459125974015574
density_4g_w1.0,density,density_4g,1.0,0.5,4,4,1.0,8,70,data/density_4g_w1.0__cell_+0.50.nc,1.3227008216119871e-05,-3.674899064144651e-07,0.9778280029476191,4.010036765660886e-05,4.9424112766597776e-05,9.686402972763706e-07,1.3361302036908365e-06,0.2676225727831185,20736,6.725768677521463e-06,8.774929533076562e-06,2.1648510036047197e-06,34.17144776079432,26.51904226691162,26.655801130738382,18.96320005333415
density_4g_w1.5,density,density_4g,1.5,0.5,4,4,1.0,8,70,data/density_4g_w1.5__cell_+0.50.nc,1.5855368676737546e-05,1.4902311653448575e-07,0.9433929499760606,3.6902147601359385e-05,4.4891058341046696e-05,2.245099750565779e-06,2.0960766340312935e-06,0.35319658886812194,20736,6.103397607106628e-06,8.137431491129687e-06,2.5037048839879063e-06,33.86624322035661,25.405203961976785,27.17865474667178,19.134097507765333
density_4g_w2.0,density,density_4g,2.0,0.5,4,4,1.0,8,70,data/density_4g_w2.0__cell_+0.50.nc,1.902328808215459e-05,4.757600745277779e-07,0.8854545484990002,3.336637435980389e-05,4.0554232857936314e-05,3.366957350308194e-06,2.8911972757804167e-06,0.4690826762472417,20736,5.171438398607183e-06,7.331764993167496e-06,2.8017727357664343e-06,37.43002973735821,25.48757248350406,30.65885271422417,17.312302569539327
density_6g_w0.25,density,density_6g,0.25,0.5,6,6,1.0,8,70,data/density_6g_w0.25__cell_+0.50.nc,1.60188217658131e-05,-1.6268066450317806e-06,0.9831746877207556,4.9561757080175476e-05,6.184248350225918e-05,1.1045634128284177e-06,2.731370057860199e-06,0.2590261719555282,20736,7.270353803813117e-06,9.755306028636208e-06,2.588160395257755e-06,35.808996206885276,34.06797767754668,35.53837305047315,18.09601129995942
density_6g_w0.5,density,density_6g,0.5,0.5,6,6,1.0,8,70,data/density_6g_w0.5__cell_+0.50.nc,1.4256812931330591e-05,-2.810926533150652e-07,0.9858270805173188,4.435256989773845e-05,5.588177336776966e-05,6.421622874144552e-07,9.232549407295205e-07,0.2551245615901184,20736,7.059790463288e-06,9.42760721067351e-06,2.417284745926258e-06,33.03756917067192,29.564271990998872,29.925851255152857,19.614033848932262
density_6g_w0.75,density,density_6g,0.75,0.5,6,6,1.0,8,70,data/density_6g_w0.75__cell_+0.50.nc,1.3037858778545144e-05,-7.324593565190469e-07,0.9841298346026414,4.243146361771643e-05,5.237675607448475e-05,4.80018197991877e-07,1.2124775545109245e-06,0.2489245183494003,20736,6.9540265409539064e-06,9.07426434846386e-06,2.185035174374864e-06,33.2147180123087,27.926204679486787,28.066617144487093,19.509423495929255
density_6g_w1.0,density,density_6g,1.0,0.5,6,6,1.0,8,70,data/density_6g_w1.0__cell_+0.50.nc,1.3054991221701065e-05,-6.403458425055912e-07,0.9778479829539873,4.0392136612220345e-05,4.9424112766597776e-05,6.957843611852457e-07,1.3361302036908365e-06,0.264142146230372,20736,6.770603390378687e-06,8.774929533076562e-06,2.0936965388615095e-06,35.370572959093856,26.51904226691162,26.659459207505822,18.320313916017515
density_6g_w1.5,density,density_6g,1.5,0.5,6,6,1.0,8,70,data/density_6g_w1.5__cell_+0.50.nc,1.573271576042398e-05,-2.003578572165456e-07,0.9439140541362258,3.7103793321626626e-05,4.4891058341046696e-05,1.8957187768147481e-06,2.0960766340312935e-06,0.3504643539677606,20736,6.137026450725906e-06,8.137431491129687e-06,2.4397679649861e-06,34.89335117981567,25.405203961976785,27.193704096351237,18.57087319187733
density_6g_w2.0,density,density_6g,2.0,0.5,6,6,1.0,8,70,data/density_6g_w2.0__cell_+0.50.nc,1.9112596138824603e-05,1.1901120298206158e-07,0.8839364665761489,3.346724690702516e-05,4.0554232857936314e-05,3.0102084787624788e-06,2.8911972757804167e-06,0.47128486453626356,20736,5.140363804146113e-06,7.331764993167496e-06,2.8233450482664042e-06,37.10105069551746,25.48757248350406,31.25289472846242,17.465812634742747
equator_1deg_w0.25,equator,equator_1deg,0.25,0.0,2,2,1.0,8,70,data/equator_1deg_w0.25__cell_+0.00.nc,2.3789463598331933e-05,1.2564332343099145e-06,0.8898658246136454,4.08244812829898e-05,5.1075101545762326e-05,7.011319517766683e-06,5.754886283456769e-06,0.4657741811245744,20736,5.02144163959026e-06,5.239672248345818e-06,2.4343730834907038e-06,79.24823494453418,79.300607935499,48.831635112978425,8.176838265906301
equator_1deg_w0.5,equator,equator_1deg,0.5,0.0,2,2,1.0,8,70,data/equator_1deg_w0.5__cell_+0.00.nc,2.1585695185806135e-05,1.7747724963363393e-06,0.9018208183281634,3.642317521696459e-05,4.751284534030512e-05,6.808961611133953e-06,5.034189114797615e-06,0.4543128291139197,20736,3.685314614030567e-06,5.0646132628016055e-06,2.3431272635826832e-06,72.35154674456979,73.13568536264336,71.7029147900748,8.956270171910795
equator_1deg_w0.75,equator,equator_1deg,0.75,0.0,2,2,1.0,8,70,data/equator_1deg_w0.75__cell_+0.00.nc,2.0401581838515373e-05,2.143273206167754e-06,0.900653834420634,3.510737228749667e-05,4.499500611924237e-05,7.2603745013595686e-06,5.117101295191814e-06,0.45341880351007485,20736,3.51799757826604e-06,4.844813096454215e-06,2.393526879693279e-06,61.43119684229284,71.40757802740107,72.54076791612476,10.54838637872474
equator_1deg_w1.0,equator,equator_1deg,1.0,0.0,2,2,1.0,8,70,data/equator_1deg_w1.0__cell_+0.00.nc,2.029175924888741e-05,2.356297517799226e-06,0.8879699995180637,3.482926770445171e-05,4.315952061953487e-05,7.748358909138928e-06,5.392061391339702e-06,0.4701571972442843,20736,3.477668741158352e-06,4.657181797004263e-06,2.5718809154621393e-06,51.42025117833524,70.9899518052421,72.4905807917724,12.602038791148887
equator_1deg_w1.5,equator,equator_1deg,1.5,0.0,2,2,1.0,8,70,data/equator_1deg_w1.5__cell_+0.00.nc,2.1683817815167775e-05,2.1238699338144736e-06,0.8424752223484072,3.47055291693875e-05,4.001333793175283e-05,7.777426832627797e-06,5.653556898813324e-06,0.5419147448321338,20736,3.6179163601572336e-06,4.3491826968165666e-06,3.604077959522319e-06,28.98806752936616,69.84047561765283,65.77254582100916,22.354025474224805
equator_1deg_w2.0,equator,equator_1deg,2.0,0.0,2,2,1.0,8,70,data/equator_1deg_w2.0__cell_+0.00.nc,2.3503869023369773e-05,2.5834840667980786e-06,0.7887694601742685,3.499671725314082e-05,3.6714058319734493e-05,8.287733246916674e-06,5.704249180118595e-06,0.6401871680509916,20736,3.8165454207490836e-06,3.973972688126286e-06,4.293539204240285e-06,23.137423561340103,70.16764709503407,59.80736172754659,28.00657550664938
equator_2deg_w0.25,equator,equator_2deg,0.25,0.0,2,2,2.0,8,70,data/equator_2deg_w0.25__cell_+0.00.nc,2.6213623878482676e-05,3.8551070261479295e-07,0.7919437242444612,4.221516784455945e-05,3.818452883898023e-05,7.256053973703208e-06,6.8705432710884155e-06,0.6864985551876918,20736,6.3962926189051404e-06,4.229949793748971e-06,2.7494285194323782e-06,64.59748845376392,68.06828816658738,32.46911861740869,10.031349755398159
equator_2deg_w0.5,equator,equator_2deg,0.5,0.0,2,2,2.0,8,70,data/equator_2deg_w0.5__cell_+0.00.nc,2.047502203018094e-05,1.9679870240336182e-07,0.8367363869179631,3.5790624822608943e-05,3.586853702592327e-05,7.053696067070477e-06,6.856897364667115e-06,0.5708351588296736,20736,5.585451371367004e-06,3.996941658977004e-06,2.26831608741082e-06,58.36500069845682,66.75996876449558,30.314245914285017,11.10254420021164
equator_2deg_w0.75,equator,equator_2deg,0.75,0.0,2,2,2.0,8,70,data/equator_2deg_w0.75__cell_+0.00.nc,1.890345230223081e-05,8.302477939505979e-07,0.8406261230186624,3.2392355373188604e-05,3.421926585889171e-05,7.5051089572960945e-06,6.674861163345496e-06,0.5524213283879917,20736,4.836254701026949e-06,3.8677447944799965e-06,2.1728253148826226e-06,55.48494673893924,64.59502206971518,32.703087184260795,11.678843327522467
equator_2deg_w1.0,equator,equator_2deg,1.0,0.0,2,2,2.0,8,70,data/equator_2deg_w1.0__cell_+0.00.nc,1.7330588612642366e-05,1.4669101654332559e-06,0.854780882041724,2.9785339747069986e-05,3.315665940526371e-05,7.993093365075451e-06,6.526183199642196e-06,0.5226880187420536,20736,4.174661593479289e-06,3.744445319834474e-06,2.0889514440019235e-06,51.74916511257093,64.66983749879886,36.82635104586937,12.521941148043519
equator_2deg_w1.5,equator,equator_2deg,1.5,0.0,2,2,2.0,8,70,data/equator_2deg_w1.5__cell_+0.00.nc,1.6804040997876457e-05,1.6141414362347076e-06,0.8378430476693082,2.5910685455390704e-05,3.063608088862229e-05,8.022161288564324e-06,6.408019852329617e-06,0.5485049167668568,20736,2.9788507473806068e-06,3.464857831580129e-06,2.4444219590828275e-06,36.95179901113868,64.2569605559938,53.5759807963761,17.536358643991
