config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,mean_true_25,mean_est_25,mean_bias_25,std_true_25,std_est_25,std_ratio_25,corr_25,js_25,ks_25,adv_mean_true_25,adv_mean_est_25,adv_mean_bias_25,adv_std_true_25,adv_std_est_25,adv_std_ratio_25,adv_corr_25,adv_js_25,adv_ks_25,mean_true_50,mean_est_50,mean_bias_50,std_true_50,std_est_50,std_ratio_50,corr_50,js_50,ks_50,adv_mean_true_50,adv_mean_est_50,adv_mean_bias_50,adv_std_true_50,adv_std_est_50,adv_std_ratio_50,adv_corr_50,adv_js_50,adv_ks_50,mean_true_70,mean_est_70,mean_bias_70,std_true_70,std_est_70,std_ratio_70,corr_70,js_70,ks_70,adv_mean_true_70,adv_mean_est_70,adv_mean_bias_70,adv_std_true_70,adv_std_est_70,adv_std_ratio_70,adv_corr_70,adv_js_70,adv_ks_70
symdia_d0.3_c-0.5,symdia,symdia_d0.3,0.15,-0.5,4,4,0.3,8,70,data_heat/symdia_d0.3_c-0.5__cell_-0.50.nc,2.782108595056343e-06,1.597249979057889e-06,-1.184858451843071e-06,2.1832871425431222e-05,1.366471904328439e-05,0.6258782354833795,0.9803587946746332,0.21042365834470841,0.08333333333333333,3.7703589583770736e-08,1.866571438034467e-08,-1.9037847966111134e-08,2.4819217969707097e-07,1.1540368531406693e-07,0.46497712157942284,0.9740214459241586,0.19880206006503742,0.05864197530864197,2.1999101136316312e-06,1.8656800528105104e-06,-3.342305615760799e-07,3.995581573690288e-05,3.0745752569766167e-05,0.7694938021593095,0.9805150665037343,0.18853114030219362,0.04938271604938271,1.8152323377762514e-07,1.2200647468657792e-07,-5.95167776078709e-08,8.314931960740068e-07,6.624685549236796e-07,0.7967215583381836,0.9708268958260612,0.1800975931897965,0.044753086419753084,2.3863565274950815e-06,2.4205312094877546e-06,3.417403811814518e-08,5.169759242562577e-05,4.245753436714757e-05,0.821267149494992,0.9757439824944573,0.18750297600644297,0.05092592592592592,3.684273792714521e-07,2.591773446703301e-07,-1.0925000973486741e-07,1.8504878198655206e-06,1.5606367371804397e-06,0.843365041599601,0.9712977187786442,0.2102823266797209,0.07561728395061729
symdia_d0.3_c+0.0,symdia,symdia_d0.3,0.15,0.0,4,4,0.3,8,70,data_heat/symdia_d0.3_c+0.0__cell_+0.00.nc,-8.137917717476739e-08,-2.7620831275424306e-08,5.375893730555395e-08,2.4815659344312735e-05,1.4145943064760608e-05,0.5700409917982929,0.9688078867673336,0.22147030557586053,0.09722222222222222,-1.2881485211835297e-08,-6.774392381351237e-09,6.1071109310519345e-09,2.8625981940422207e-07,1.652377261187639e-07,0.5772298971705659,0.9895829431186016,0.16769634178447626,0.07407407407407407,1.6617229903204134e-07,3.801217613838848e-07,2.1394862229131148e-07,3.9278769691009074e-05,2.772628280362605e-05,0.7058847062099454,0.9633079652548975,0.19844754177370202,0.06018518518518518,6.43411652845316e-08,3.5839942846754164e-08,-2.8501311777267752e-08,1.8150432197217015e-06,1.4024032601574917e-06,0.7726555736631553,0.9838888491285307,0.17962124311595193,0.06172839506172839,-1.37472125061322e-06,-1.4716770407844598e-06,-9.695686883514764e-08,5.903589408262633e-05,4.820699337314111e-05,0.8165709035535373,0.9693957050419002,0.18705309161816033,0.05246913580246913,2.9565586601165705e-07,2.420547509961646e-07,-5.360107694615045e-08,3.2629181987431366e-06,2.798367072447543e-06,0.8576271000374645,0.9717151525247546,0.19053882501199657,0.05092592592592592
symdia_d0.3_c+0.5,symdia,symdia_d0.3,0.15,0.5,4,4,0.3,8,70,data_heat/symdia_d0.3_c+0.5__cell_+0.50.nc,9.328390660812147e-06,5.725118107394992e-06,-3.603267866798435e-06,3.227220076951198e-05,1.9357714924475758e-05,0.5998263044633533,0.9610748186049362,0.21748017313077794,0.10802469135802469,1.985200093201911e-08,1.3135440189545113e-08,-6.716565587896651e-09,1.9971005826846522e-07,1.0670851496380894e-07,0.5343171790594711,0.9325539888754251,0.20742171316206814,0.07407407407407407,8.095331395452376e-06,6.504678757471022e-06,-1.5906542285060444e-06,5.507191235665232e-05,4.058384611244099e-05,0.7369245841621611,0.9643530577237431,0.16376125968839386,0.05555555555555555,5.246196792541014e-07,3.487464860601002e-07,-1.7587314747027214e-07,2.243574726890074e-06,1.5390357345409015e-06,0.6859748044471121,0.9519163085668308,0.19162379785164776,0.035493827160493825,-1.987163159355987e-06,1.6815659368111555e-07,2.1553205746967145e-06,6.804491567891091e-05,5.388378598533466e-05,0.791885557469135,0.9459624032259254,0.18961297672417035,0.05401234567901234,5.553637834054825e-07,4.081250992476116e-07,-1.4723873640088937e-07,4.59815100839478e-06,3.5125118579602977e-06,0.7638965861598617,0.9491302911723284,0.1687796549698753,0.040123456790123455
symdia_d0.5_c-0.5,symdia,symdia_d0.5,0.25,-0.5,4,4,0.5,8,70,data_heat/symdia_d0.5_c-0.5__cell_-0.50.nc,2.5415520212845877e-06,1.3503361604782368e-06,-1.191215745984618e-06,1.7387537809554487e-05,1.1345968253936095e-05,0.6525344978805143,0.9611288734211575,0.22398449062467712,0.09259259259259259,2.8689164821571467e-08,1.581304646302012e-08,-1.2876116666217502e-08,1.7578068423063087e-07,8.443317483961996e-08,0.4803324961964561,0.9639155526874734,0.181236280504894,0.07716049382716049,2.073502628263668e-06,1.6346173009193607e-06,-4.3888376694914565e-07,3.3375115890521556e-05,2.6517811218878913e-05,0.7945384011808001,0.966515578109214,0.2121136606290722,0.06172839506172839,1.8848379568225937e-07,1.1919038034692771e-07,-6.929344165892503e-08,7.127364938241953e-07,5.913204068278152e-07,0.8296480002799902,0.9642357400966893,0.15613522672440447,0.05864197530864197,2.3378554487862857e-06,2.19552968345725e-06,-1.4232574234604945e-07,4.434157017385587e-05,3.593170415120702e-05,0.8103390116841787,0.9632420442466607,0.17945072595800407,0.05246913580246913,3.8404050428653136e-07,2.298412090927852e-07,-1.5419911812139752e-07,1.6548772237001685e-06,1.3350135820194327e-06,0.8067145785198813,0.9593909080134289,0.18849063135018448,0.0941358024691358
symdia_d0.5_c+0.0,symdia,symdia_d0.5,0.25,0.0,4,4,0.5,8,70,data_heat/symdia_d0.5_c+0.0__cell_+0.00.nc,1.3285637123772176e-06,9.106821665245388e-07,-4.178806701375401e-07,1.962784335773904e-05,1.0983596672005803e-05,0.5595926394875723,0.9137603273062628,0.2696058621025612,0.11882716049382716,-1.0949576356722446e-08,-1.7550536542151765e-09,9.194538524529233e-09,2.2537150812240725e-07,1.108290971748458e-07,0.49176179410686904,0.9677103662116397,0.18869438012417417,0.06481481481481481,2.120426188412239e-06,1.7312587102548917e-06,-3.891645408718161e-07,3.1561736250296235e-05,2.215139934287511e-05,0.701843497049919,0.9024368089329535,0.208819229056249,0.06481481481481481,7.228062059994045e-08,8.296260871883675e-08,1.0682013993839067e-08,1.5767126342325355e-06,1.1436208507596598e-06,0.7253197735149227,0.9534597241897255,0.19021958256401947,0.07098765432098765,-6.026284609106369e-07,-9.537300473124672e-07,-3.5110097943605036e-07,4.988937507732771e-05,4.114828609864024e-05,0.8247905698329769,0.9466977114694817,0.17424514062547627,0.043209876543209874,2.9981583793414757e-07,2.7289917470522236e-07,-2.6916701709803382e-08,2.9368031846388476e-06,2.4844881056532153e-06,0.8459838638995294,0.956480670171448,0.21549965697151727,0.05401234567901234
symdia_d0.5_c+0.5,symdia,symdia_d0.5,0.25,0.5,4,4,0.5,8,70,data_heat/symdia_d0.5_c+0.5__cell_+0.50.nc,8.43613270262722e-06,4.818962570815099e-06,-3.6171722572765367e-06,2.6292418624507263e-05,1.5839251831291177e-05,0.6024265799772164,0.9517836156117254,0.2399128785943186,0.12808641975308643,1.9228425074402367e-08,1.2309099868546121e-08,-6.9193293652125005e-09,1.821857011918837e-07,8.95172455940443e-08,0.4913516538806848,0.9119326117023026,0.18323935733912866,0.06172839506172839,6.645439952990273e-06,5.329756247511478e-06,-1.315683350524051e-06,4.5123979361960664e-05,3.2947823409205364e-05,0.7301621859392181,0.9419968095329664,0.2367111002612356,0.05864197530864197,5.396193500928348e-07,3.426563137263535e-07,-1.9696275696534066e-07,2.016931603066041e-06,1.3697068126389738e-06,0.6791042445647697,0.9291439935301714,0.21050319916687413,0.07253086419753087,-3.1485496947425418e-06,-5.367505953853783e-07,2.6118001524105546e-06,5.702262933482416e-05,4.6758912375622815e-05,0.8200062487659927,0.9151761188380766,0.1752956375821712,0.05092592592592592,6.193713488755748e-07,3.843616977417241e-07,-2.3500989388158757e-07,4.203365733701503e-06,3.2116223579311683e-06,0.7640596991551813,0.9330408423868214,0.15205663492057656,0.06172839506172839
symdia_d0.75_c-0.5,symdia,symdia_d0.75,0.375,-0.5,4,4,0.75,8,70,data_heat/symdia_d0.75_c-0.5__cell_-0.50.nc,2.4888452117011184e-06,1.525517171175056e-06,-9.633278646238383e-07,1.4778259355807677e-05,9.545807980670603e-06,0.6459358812727303,0.9466728808642096,0.22567599385051967,0.10030864197530864,2.3420039241273116e-08,1.2106298396223952e-08,-1.131372392667257e-08,1.37913872322315e-07,6.18294501668057e-08,0.4483192961350956,0.9291441600860845,0.1731809979781259,0.09567901234567901,2.1435510006995173e-06,2.7907674325075253e-06,6.472176408353977e-07,2.911506817326881e-05,2.278752362371389e-05,0.7826711408711597,0.9502962299165283,0.23493092461173776,0.06635802469135803,1.9472359724659327e-07,9.980348771714344e-08,-9.491996498933428e-08,6.59521674606367e-07,4.7307122023351716e-07,0.7172944248054742,0.9494883503849674,0.2246931635598784,0.08487654320987655,2.014125584537396e-06,3.7756778321444354e-06,1.761553682220787e-06,3.8929018046474084e-05,3.225845261099667e-05,0.8286479913900221,0.9477382546735834,0.21490069250626198,0.06481481481481481,3.859843786813144e-07,2.622781256989573e-07,-1.2370621108274536e-07,1.4796353298152098e-06,1.2009047212321555e-06,0.811622091628574,0.9463443107356351,0.19169164609394165,0.06790123456790123
symdia_d0.75_c+0.0,symdia,symdia_d0.75,0.375,0.0,4,4,0.75,8,70,data_heat/symdia_d0.75_c+0.0__cell_+0.00.nc,2.2544179500982864e-06,9.238850363549453e-07,-1.3305322180076902e-06,1.4988265320425853e-05,8.06552938137112e-06,0.5381229387752764,0.8572428268333927,0.2787640111165665,0.14660493827160495,-6.9696612925440604e-09,3.5851136438049613e-09,1.0554777258635119e-08,1.8023264658495464e-07,8.788026469049857e-08,0.487593487393391,0.9227281899121061,0.1680840505945044,0.09567901234567901,2.745617621258134e-06,8.586225402632645e-07,-1.8869952588992e-06,2.3907789000077173e-05,1.6232712280833812e-05,0.6789717058646206,0.8640659186854094,0.2557425251082794,0.09876543209876543,1.1796194598900911e-07,1.4199955621594743e-07,2.403757327719963e-08,1.3264677818369819e-06,9.169447936720283e-07,0.6912680475376353,0.9330685178379157,0.1963441645407405,0.06481481481481481,-6.17662976765132e-07,-1.7745482768988692e-06,-1.156886045129023e-06,4.231753700878471e-05,3.428709936085274e-05,0.8102338128453712,0.9263346102985618,0.22920388763868582,0.08333333333333333,3.260390144532721e-07,3.215853257745707e-07,-4.453715097040623e-09,2.5925078261934686e-06,2.0580966345369318e-06,0.7938632291647879,0.9326658117578084,0.21459535898010068,0.06018518518518518
symdia_d0.75_c+0.5,symdia,symdia_d0.75,0.375,0.5,4,4,0.75,8,70,data_heat/symdia_d0.75_c+0.5__cell_+0.50.nc,8.235951099777594e-06,4.495069336287379e-06,-3.7408855477813394e-06,2.289416988787707e-05,1.4195990015699636e-05,0.6200700914347937,0.9520803050557298,0.2872876864497216,0.15432098765432098,1.7901436777378876e-08,9.414311060414791e-09,-8.487122623791166e-09,1.5880492298947502e-07,7.492124415271781e-08,0.4717816220198873,0.8997703625198943,0.1913891700248468,0.07561728395061729,6.366172783600632e-06,5.32238586043451e-06,-1.0437899859589377e-06,3.895172631018795e-05,3.029956744261464e-05,0.7778748289954402,0.9407690552031004,0.24371012030827008,0.09876543209876543,5.549742922994483e-07,3.4875910206342544e-07,-2.0621505650306305e-07,1.8793435856423457e-06,1.3421687389935933e-06,0.7141688987832685,0.9262044822475618,0.19647520113220787,0.10339506172839506,-3.739699195648427e-06,-1.4877495748703475e-06,2.2519519876748835e-06,5.031188629800454e-05,4.387024442319933e-05,0.8719658047275263,0.9100353857267831,0.21400687011072597,0.08024691358024691,5.97601683693938e-07,3.845452615762748e-07,-2.130566362339823e-07,3.854926944768522e-06,3.4133280631531616e-06,0.8854455900352017,0.9082821814659642,0.22037803217124433,0.06944444444444445
symdia_d1.0_c-0.5,symdia,symdia_d1.0,0.5,-0.5,4,4,1.0,8,70,data_heat/symdia_d1.0_c-0.5__cell_-0.50.nc,2.6219986466458067e-06,1.4972243505942494e-06,-1.1247742292976847e-06,1.349473404843593e-05,8.572386309112202e-06,0.6352393665813488,0.9401834640926897,0.29338015146078594,0.1095679012345679,1.8267529711124553e-08,7.82844322628492e-09,-1.0439098910091705e-08,1.0992793875175266e-07,4.180664895707623e-08,0.38030958673287846,0.8561216970536482,0.1964769159035095,0.1111111111111111,2.69120005214063e-06,3.200060353317159e-06,5.088600053034641e-07,2.6271412934875116e-05,2.0193544023568793e-05,0.7686508553471064,0.9336923763329229,0.23883244793771313,0.09567901234567901,1.7047062783603906e-07,6.435360399441023e-08,-1.0611713671794395e-07,5.550899118134112e-07,3.7443858026761455e-07,0.6745548285040334,0.8902126129536663,0.2037068817385405,0.08796296296296297,2.3543730094388593e-06,4.033686835933756e-06,1.6793129773140842e-06,3.4999800845980644e-05,2.8706421009467095e-05,0.8201881243779626,0.9497477490254547,0.18832728028826856,0.0787037037037037,3.5006692655770166e-07,2.2752033374618839e-07,-1.22546570251756e-07,1.332876081505674e-06,1.0806468646044252e-06,0.8107631906663673,0.910647415966882,0.22158245281596725,0.06635802469135803
