config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
symdia_d0.3_c-0.5,symdia,symdia_d0.3,0.15,-0.5,4,4,0.3,8,80,data_1day/symdia_d0.3_c-0.5__cell_-0.50.nc,9.879525083003802e-06,-1.2714708069495703e-06,0.9904668240273383,7.110228047504148e-05,7.018520927286944e-05,1.6419905181561738e-05,1.769137598851131e-05,0.14076363361108904,2997,1.3315058753203883e-05,1.4655726920144844e-05,1.2001370575939853e-06,65.76530493681997,20.03037160202642,20.672167622939682,1.2316524659593053
symdia_d0.3_c+0.0,symdia,symdia_d0.3,0.15,0.0,4,4,0.3,8,80,data_1day/symdia_d0.3_c+0.0__cell_+0.00.nc,6.958463862668909e-06,-3.307421873313973e-07,0.9936916531473841,6.192006548596615e-05,6.182913803446074e-05,2.8419210707291262e-06,3.172663258060524e-06,0.11254343961241346,2997,1.0054081759350103e-05,1.164698359238207e-05,1.0116490418531217e-06,57.47191834477737,23.714214074238345,26.3429909314016,1.4093839623392472
symdia_d0.3_c+0.5,symdia,symdia_d0.3,0.15,0.5,4,4,0.3,8,80,data_1day/symdia_d0.3_c+0.5__cell_+0.50.nc,1.075538281074815e-05,-1.465011239214512e-06,0.9891018055710453,7.154511812182814e-05,7.236874327717677e-05,2.8496953797597325e-06,4.314706618974246e-06,0.14861917346767192,2997,1.052572821609986e-05,1.1629480070846315e-05,1.9984194305762308e-06,31.520399102129726,33.44626560837098,33.043950134562266,2.5697644162927844
symdia_d0.5_c-0.5,symdia,symdia_d0.5,0.25,-0.5,4,4,0.5,8,80,data_1day/symdia_d0.5_c-0.5__cell_-0.50.nc,1.2343227185214296e-05,-1.389177320823726e-06,0.9802544664330451,6.12686294186614e-05,6.196821211672227e-05,1.6424638256476192e-05,1.7813815577299916e-05,0.1991864338762074,2997,1.2415255166631872e-05,1.388710472322946e-05,1.6574697340864915e-06,51.182208180434976,17.30282336963092,17.553924059904986,1.5825811913868
symdia_d0.5_c+0.0,symdia,symdia_d0.5,0.25,0.0,4,4,0.5,8,80,data_1day/symdia_d0.5_c+0.0__cell_+0.00.nc,1.1585590494777178e-05,1.0829837812890438e-06,0.9776048894735467,5.470711520007473e-05,5.4191069383876936e-05,4.134404285408107e-06,3.0514205041190627e-06,0.2137915089423231,2997,8.072914623128277e-06,9.034456677569298e-06,1.4425698761697185e-06,53.45481948335974,29.959377331868662,31.39521013809456,1.5152983544395835
symdia_d0.5_c+0.5,symdia,symdia_d0.5,0.25,0.5,4,4,0.5,8,80,data_1day/symdia_d0.5_c+0.5__cell_+0.50.nc,1.2926393035196826e-05,-2.2109938863365543e-06,0.9804600729455087,6.474034385203642e-05,6.35622493406966e-05,1.5764684963740965e-06,3.7874623827106503e-06,0.20336588414155643,2997,9.652965985198097e-06,1.0869649419085223e-05,2.0926725313561607e-06,29.900965834748405,29.536859741977967,32.25062437167452,2.7089425956223985
symdia_d0.75_c-0.5,symdia,symdia_d0.75,0.375,-0.5,4,4,0.75,8,80,data_1day/symdia_d0.75_c-0.5__cell_-0.50.nc,1.4038811432732084e-05,-6.785525181108368e-07,0.9667825932225544,5.418026105773026e-05,5.458220811680931e-05,1.6282951760445908e-05,1.6961504278556744e-05,0.25720490095761894,2997,1.0897670889232024e-05,1.2098941356380812e-05,2.2799813788215413e-06,32.134435129043034,17.560267325164986,17.617912538988165,2.520660458935293
symdia_d0.75_c+0.0,symdia,symdia_d0.75,0.375,0.0,4,4,0.75,8,80,data_1day/symdia_d0.75_c+0.0__cell_+0.00.nc,1.2997316429043872e-05,2.042369460192568e-06,0.9627708152745867,4.748389895446863e-05,4.575086512090666e-05,7.764911371002829e-06,5.722541910810261e-06,0.28408897612527373,2997,6.263156318625131e-06,5.353514979189726e-06,1.4552440164764442e-06,57.80427402247937,60.099828577577036,38.95652565135009,1.401280465325109
symdia_d0.75_c+0.5,symdia,symdia_d0.75,0.375,0.5,4,4,0.75,8,80,data_1day/symdia_d0.75_c+0.5__cell_+0.50.nc,1.4085396915891056e-05,-2.9124286412809734e-06,0.9726151638005528,5.928667102161004e-05,5.786723491067459e-05,-7.65492787604895e-07,2.146935853676077e-06,0.24340884677890087,2997,9.481829542589315e-06,1.0505159926882232e-05,2.4890524089405722e-06,23.3420803177349,26.069187489318164,27.59116344885789,3.4701277220118905
symdia_d1.0_c-0.5,symdia,symdia_d1.0,0.5,-0.5,4,4,1.0,8,80,data_1day/symdia_d1.0_c-0.5__cell_-0.50.nc,1.3540310165871867e-05,-1.5950874947567574e-06,0.9615217286486968,4.843617648616923e-05,4.850228356564884e-05,1.2731282931544665e-05,1.4326370426301427e-05,0.2791685085825862,2997,9.056271430635202e-06,1.0241359639307957e-05,2.392067832318673e-06,26.296305604738638,19.277548390290747,20.32078550495936,3.08028059977382
symdia_d1.0_c+0.0,symdia,symdia_d1.0,0.5,0.0,4,4,1.0,8,80,data_1day/symdia_d1.0_c+0.0__cell_+0.00.nc,1.2837600969561856e-05,2.352555609850152e-06,0.9550785057292249,4.249322439375462e-05,3.975607500601515e-05,9.728143660438569e-06,7.375588050588415e-06,0.3229091646401087,2997,5.3873926149568406e-06,4.501553136343416e-06,1.4955166055403864e-06,47.75826066312672,63.56949535277742,41.77067777401338,1.6960416664114115
symdia_d1.0_c+0.5,symdia,symdia_d1.0,0.5,0.5,4,4,1.0,8,80,data_1day/symdia_d1.0_c+0.5__cell_+0.50.nc,1.564343183020117e-05,-3.6917015105290487e-06,0.962132254889904,5.57240702606868e-05,5.300623572022153e-05,-2.3493461875915378e-06,1.342355322937512e-06,0.2951243682492493,2997,9.095599328567479e-06,1.0010438558983173e-05,1.921308432353608e-06,42.470964145361876,23.925317002485283,26.137035002908334,1.9071853354392418
symhex_d0.3_c-0.5,symhex,symhex_d0.3,0.15,-0.5,6,6,0.3,8,80,data_1day/symhex_d0.3_c-0.5__cell_-0.50.nc,2.874756889860388e-06,-2.3545563810115617e-07,0.9991750971273915,7.041930081539629e-05,7.018520927286944e-05,1.7455920350410152e-05,1.769137598851131e-05,0.040959582790211106,2997,1.3312714864109247e-05,1.4655726920144844e-05,1.3542313292456823e-06,20.424564078957495,20.03037160202642,20.306674439865358,3.965812914629137
