config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,mean_true_25,mean_est_25,mean_bias_25,std_true_25,std_est_25,std_ratio_25,corr_25,js_25,ks_25,adv_mean_true_25,adv_mean_est_25,adv_mean_bias_25,adv_std_true_25,adv_std_est_25,adv_std_ratio_25,adv_corr_25,adv_js_25,adv_ks_25,mean_true_50,mean_est_50,mean_bias_50,std_true_50,std_est_50,std_ratio_50,corr_50,js_50,ks_50,adv_mean_true_50,adv_mean_est_50,adv_mean_bias_50,adv_std_true_50,adv_std_est_50,adv_std_ratio_50,adv_corr_50,adv_js_50,adv_ks_50,mean_true_70,mean_est_70,mean_bias_70,std_true_70,std_est_70,std_ratio_70,corr_70,js_70,ks_70,adv_mean_true_70,adv_mean_est_70,adv_mean_bias_70,adv_std_true_70,adv_std_est_70,adv_std_ratio_70,adv_corr_70,adv_js_70,adv_ks_70
symdia_d0.3_c-0.5,symdia,symdia_d0.3,0.15,-0.5,4,4,0.3,8,80,data_heat_1day/symdia_d0.3_c-0.5__cell_-0.50.nc,2.6228701699437806e-06,2.432518124716718e-06,-1.903520519816051e-07,1.938823697855696e-05,1.8584401048397976e-05,0.9585400193401796,0.9908332457634587,0.33997838809177766,0.06172839506172839,3.777181589725842e-08,2.6969559763339578e-08,-1.0802268375562564e-08,1.8486466046852001e-07,1.2830772063044403e-07,0.6940629988731304,0.9846379772785107,0.33947901417515614,0.07407407407407407,2.2116125819593435e-06,2.364428095857926e-06,1.5281591890794166e-07,3.532130358507857e-05,3.4076762836430935e-05,0.9647651524058306,0.9889650804931355,0.3573168013249354,0.04938271604938271,1.8238618793020578e-07,1.6640873355862186e-07,-1.597746638597897e-08,7.556683954135224e-07,7.335084416934087e-07,0.970675029080729,0.9834209275973352,0.3640313172596535,0.04938271604938271,2.2137323867355008e-06,2.4347296637789157e-06,2.209970756352496e-07,4.091551818419248e-05,4.065814865541435e-05,0.9937097331232735,0.9867416477686857,0.4824648107071027,0.07407407407407407,3.7740096558991354e-07,3.554861781517487e-07,-2.19148909493287e-08,1.4030513284524204e-06,1.3948162631267295e-06,0.9941306029518006,0.9739822328804772,0.4967089896183855,0.06172839506172839
symdia_d0.3_c+0.0,symdia,symdia_d0.3,0.15,0.0,4,4,0.3,8,80,data_heat_1day/symdia_d0.3_c+0.0__cell_+0.00.nc,-4.3287349171805545e-07,-1.1429723553332555e-07,3.1857624824594955e-07,1.5453742889803834e-05,1.4466486471822933e-05,0.9361153847957261,0.9760816501292483,0.4172714706837997,0.06172839506172839,-9.854225879735168e-09,-9.084467050167634e-09,7.697565830792188e-10,2.0328636196609295e-07,1.8209636638923085e-07,0.8957628275112893,0.9974694848312196,0.11979296781981055,0.06172839506172839,3.50841276031133e-08,4.968383916193851e-07,4.617547525801933e-07,2.4157532607205212e-05,2.2771527750980327e-05,0.9426263899231374,0.9706281874988986,0.4260340068172727,0.04938271604938271,2.8054181200332096e-08,1.762373402260818e-08,-1.0430453029010404e-08,1.576278691572952e-06,1.4963179030032372e-06,0.9492724294268529,0.9896589651648446,0.25527687040105906,0.06172839506172839,-1.0600558653095504e-06,-1.22392312499304e-06,-1.638668073923357e-07,4.5261866034707054e-05,4.426964619461762e-05,0.9780782383269705,0.9875262859442346,0.36080567937092234,0.06172839506172839,3.001442792083253e-07,2.654094635159855e-07,-3.473482898212073e-08,2.6998263820132706e-06,2.675396355977365e-06,0.9909512603481976,0.9869477999922781,0.35319220796656514,0.07407407407407407
symdia_d0.3_c+0.5,symdia,symdia_d0.3,0.15,0.5,4,4,0.3,8,80,data_heat_1day/symdia_d0.3_c+0.5__cell_+0.50.nc,8.737953976378776e-06,8.483884432004426e-06,-2.5406807802467445e-07,2.6995268854079768e-05,2.5522365926295142e-05,0.9454384790258524,0.9832123541498671,0.3488485925651804,0.04938271604938271,2.4224885208923297e-08,2.142429595361985e-08,-2.8005937889282898e-09,1.2859749176641344e-07,1.1282294992471093e-07,0.8773339850954819,0.9840494344745832,0.34578691514785925,0.06172839506172839,7.565871783299372e-06,7.946524423657105e-06,3.806515234020956e-07,4.7202400310197845e-05,4.3889105361692135e-05,0.929806642739948,0.9827373232461118,0.36726790123856434,0.07407407407407407,5.100324642626219e-07,4.6710623374513366e-07,-4.29261978015459e-08,1.7801743297241046e-06,1.489866378065009e-06,0.8369216167137473,0.9715322781820771,0.3786431725804681,0.06172839506172839,-2.1019898213126e-06,-7.726452602064998e-07,1.3293448144452872e-06,5.174925536266528e-05,4.845232171157523e-05,0.9362902204488793,0.9714974330345685,0.4110108531329312,0.06172839506172839,5.287445787871548e-07,4.961400338321128e-07,-3.260450896736814e-08,3.818506684183376e-06,3.1901533745871895e-06,0.8354452770244225,0.9792740911677266,0.38010877276646343,0.06172839506172839
symdia_d0.5_c-0.5,symdia,symdia_d0.5,0.25,-0.5,4,4,0.5,8,80,data_heat_1day/symdia_d0.5_c-0.5__cell_-0.50.nc,2.3114184841688257e-06,1.997983491698056e-06,-3.134349862425556e-07,1.570610584167298e-05,1.5437320262891634e-05,0.9828865549811732,0.9752421944456006,0.41370510502964614,0.08641975308641975,2.9674456669681604e-08,2.2920303970590196e-08,-6.754161290984032e-09,1.322250540169989e-07,9.336880217293205e-08,0.7061354814113255,0.9796635950015979,0.3443960950498778,0.08641975308641975,1.952923184944666e-06,1.955159643224916e-06,2.236423542604963e-09,2.997695264639333e-05,2.936162009375418e-05,0.9794731452560378,0.9790126438930484,0.44825578973691904,0.06172839506172839,1.857395375282067e-07,1.5787863805937123e-07,-2.7860970353148994e-08,6.464131274697138e-07,6.441053204447329e-07,0.9964298264888053,0.9752708704775498,0.4067036032889083,0.07407407407407407,2.1732987534051063e-06,2.222377366786935e-06,4.90789321611272e-08,3.6166627978673205e-05,3.4886360987736466e-05,0.9646008748260498,0.9737723916292881,0.40044820650777313,0.07407407407407407,3.9439265719920513e-07,3.210279128789921e-07,-7.336477440862766e-08,1.2665894928431953e-06,1.208011659484414e-06,0.9537515243180427,0.9599553163615249,0.46065422589319155,0.06172839506172839
symdia_d0.5_c+0.0,symdia,symdia_d0.5,0.25,0.0,4,4,0.5,8,80,data_heat_1day/symdia_d0.5_c+0.0__cell_+0.00.nc,9.499242423771648e-07,1.2785759488472368e-06,3.2865189559724914e-07,1.4650820048700552e-05,1.3401195046124289e-05,0.9147061394227487,0.9217249446791737,0.38288945452380935,0.12345679012345678,-9.103047204916948e-09,-1.372757703159397e-09,7.730283346872991e-09,1.669589835273655e-07,1.1760081303437493e-07,0.7043694837486808,0.9668375335914595,0.2450773494161744,0.07407407407407407,2.0167676666460466e-06,2.0722306210689314e-06,5.546314039209474e-08,2.2382053430192173e-05,2.1752334627609006e-05,0.9718650120934074,0.9117326269988251,0.46882481286869027,0.07407407407407407,3.746176346908214e-08,8.512908775532859e-08,4.766734410030083e-08,1.3910164398112101e-06,1.2036389030125803e-06,0.8652945202976459,0.9603991571028948,0.31744123124924234,0.06172839506172839,-2.675058681234077e-07,-8.86542304450697e-07,-6.190362707094278e-07,3.979349639848806e-05,3.871836237791726e-05,0.9729821674927854,0.9662951546486502,0.3720600316493258,0.08641975308641975,3.0543424145434983e-07,3.2142006755259774e-07,1.5985859585863986e-08,2.483343678250094e-06,2.3725488573796565e-06,0.9553848217462555,0.9724649758585093,0.34243068785674935,0.07407407407407407
symdia_d0.5_c+0.5,symdia,symdia_d0.5,0.25,0.5,4,4,0.5,8,80,data_heat_1day/symdia_d0.5_c+0.5__cell_+0.50.nc,7.866961823310703e-06,7.197066842705897e-06,-6.698966644595092e-07,2.2707676180289127e-05,2.1157592338997643e-05,0.9317374517328638,0.974913455515798,0.337090512437074,0.09876543209876543,2.3705743146251734e-08,1.9577731507683962e-08,-4.1280160547882474e-09,1.1790747578288574e-07,9.369009172300415e-08,0.794606882226235,0.961895106876561,0.41793448120576654,0.06172839506172839,6.060467967472505e-06,6.485335576129149e-06,4.24867369089702e-07,3.90772802347783e-05,3.557429227713705e-05,0.9103574267043377,0.9690122586360708,0.4289645149765405,0.08641975308641975,5.331887109605304e-07,4.5255324026888835e-07,-8.063544582196104e-08,1.6396739965784946e-06,1.3695333313688679e-06,0.8352473322298647,0.9500635335253665,0.39366659653896136,0.09876543209876543,-3.209349415556062e-06,-1.8983527146023248e-06,1.310996432526481e-06,4.360613093012944e-05,4.180156522007945e-05,0.9586166974331782,0.9411362577448155,0.38849454411554224,0.06172839506172839,5.724162406295363e-07,4.876510847963453e-07,-8.476514554786542e-08,3.4315667107875925e-06,2.9581745080832186e-06,0.8620477925676917,0.9471544412918242,0.3429648879607803,0.06172839506172839
symdia_d0.75_c-0.5,symdia,symdia_d0.75,0.375,-0.5,4,4,0.75,8,80,data_heat_1day/symdia_d0.75_c-0.5__cell_-0.50.nc,2.224669515271671e-06,2.200343576953708e-06,-2.4325732874618897e-08,1.3407524420472328e-05,1.2942762453588717e-05,0.9653357359413828,0.96106357092558,0.3710459921543726,0.07407407407407407,2.4827647493452787e-08,1.8876099093102167e-08,-5.9515360437225556e-09,1.0325206289962807e-07,6.962013808042434e-08,0.6742735798712562,0.959311656056128,0.34660867612273055,0.06172839506172839,1.9451065327302786e-06,3.1934471298026624e-06,1.2483409507647681e-06,2.622271676955279e-05,2.5133725989857384e-05,0.9584714738268526,0.9601933380281649,0.42993273364566276,0.09876543209876543,1.8870180440444528e-07,1.2848361691047607e-07,-6.021821436684898e-08,5.987164399812173e-07,4.975397425410853e-07,0.831010657660735,0.960982713795672,0.4408440101864396,0.07407407407407407,1.879539922811091e-06,3.999576418810565e-06,2.1200362295020877e-06,3.2187635952141136e-05,3.208454745298034e-05,0.996797264039084,0.9521906108571585,0.3730048018801581,0.07407407407407407,3.9789836137060774e-07,3.430844223748397e-07,-5.481398486305611e-08,1.155783479589445e-06,1.125717992793422e-06,0.9739869211431341,0.9458278881197737,0.4634359860750217,0.07407407407407407
symdia_d0.75_c+0.0,symdia,symdia_d0.75,0.375,0.0,4,4,0.75,8,80,data_heat_1day/symdia_d0.75_c+0.0__cell_+0.00.nc,1.8567482129583368e-06,1.3433047467184508e-06,-5.134439362068862e-07,1.2210893146402668e-05,1.0524172987531718e-05,0.8618675850613059,0.9130069374883213,0.4183094049840612,0.09876543209876543,-4.8396988638899074e-09,8.260523078767168e-09,1.3100221830264128e-08,1.3528594422496099e-07,9.462751365157768e-08,0.6994630092112585,0.9003893773947379,0.2945381933155454,0.09876543209876543,2.5811712021095445e-06,9.716302707547176e-07,-1.6095416956707355e-06,1.873411747510545e-05,1.702527998308852e-05,0.908784734894094,0.9249184975905006,0.36408207799170245,0.08641975308641975,8.834286546743897e-08,1.759952461982468e-07,8.765235095490051e-08,1.1688833865264314e-06,9.637675970973633e-07,0.8245198864203124,0.9390861717777081,0.3130848233813584,0.08641975308641975,-3.0344267543114256e-07,-2.300266881432254e-06,-1.9968242416159702e-06,3.45591724908445e-05,3.213688519560647e-05,0.9299089902722714,0.9429935549085943,0.4043859318124512,0.09876543209876543,3.292811072697077e-07,4.1186797311431647e-07,8.258685222587301e-08,2.239493369415868e-06,2.007784062897445e-06,0.8965349441606696,0.9496648388670513,0.3498063608692237,0.08641975308641975
symdia_d0.75_c+0.5,symdia,symdia_d0.75,0.375,0.5,4,4,0.75,8,80,data_heat_1day/symdia_d0.75_c+0.5__cell_+0.50.nc,7.705458301643375e-06,6.709128933871172e-06,-9.963282171315771e-07,1.9938150217058137e-05,1.8866708006579564e-05,0.9462617043800835,0.968635398683377,0.4626934823632557,0.12345679012345678,2.2277344413623723e-08,1.5388910285512202e-08,-6.888434197843118e-09,1.0526466098781384e-07,8.0449747871815e-08,0.7642616915958949,0.9502962904435488,0.3799643462781767,0.09876543209876543,5.812302333652042e-06,6.537817108837568e-06,7.25515401954394e-07,3.352276326040737e-05,3.276853709563689e-05,0.9775010741533566,0.9621337855799152,0.42653082960956523,0.08641975308641975,5.525690767171909e-07,4.417771722814086e-07,-1.1079196796503964e-07,1.6066787793533877e-06,1.3810432749487564e-06,0.8595640228126752,0.9602619725219115,0.43686092715013697,0.12345679012345678,-3.926308181689819e-06,-2.69531679751333e-06,1.230990893463395e-06,3.9304599340539426e-05,4.128576975067779e-05,1.050405561775946,0.933097986621839,0.4499390461442838,0.06172839506172839,5.601718271464051e-07,4.547250546462834e-07,-1.0544677912856442e-07,3.1581344046571758e-06,3.2416617496316937e-06,1.0264483186185311,0.9359190233162415,0.43872767787741246,0.12345679012345678
symdia_d1.0_c-0.5,symdia,symdia_d1.0,0.5,-0.5,4,4,1.0,8,80,data_heat_1day/symdia_d1.0_c-0.5__cell_-0.50.nc,2.3084696749720024e-06,2.1529069936725065e-06,-1.555625959192338e-07,1.2125033208576497e-05,1.1733860235634471e-05,0.9677383998696735,0.9556356930949741,0.36243095637792555,0.07407407407407407,2.000761156750741e-08,1.2121918010493983e-08,-7.885700192309309e-09,8.073335067138032e-08,4.4832269747071417e-08,0.555312883390139,0.8943574749822445,0.32954544217988524,0.04938271604938271,2.428252173558576e-06,3.707334607623822e-06,1.279082838986883e-06,2.360274265811313e-05,2.2512303982532502e-05,0.9538003404360381,0.9450082276151055,0.4594149744472671,0.09876543209876543,1.6141549963322177e-07,8.221896320802699e-08,-7.919652671691124e-08,4.993930247110256e-07,3.944926414072419e-07,0.789944236076416,0.8947201500210782,0.42716112202254625,0.06172839506172839,2.244119059469085e-06,4.376145224526534e-06,2.1320257387318077e-06,2.930400842160452e-05,2.9242944208968084e-05,0.9979161822588265,0.9578473026550149,0.3577639149362837,0.1111111111111111,3.5971910961052345e-07,2.942231490860659e-07,-6.549590122484159e-08,1.068621031663497e-06,1.0662908282785337e-06,0.9978194296051465,0.9181071116557573,0.43650210403172335,0.07407407407407407
